,city,college,heightFt,heightIn,location,player,position,rank,rate,school,score,state,weight,year
772,Lakeland,Florida,6,2,"Lakeland, FL, united states of america",John Brown,DT,73,4,Lakeland,0.9652,FL,285,2007
773,Chicago,Notre Dame,5,11,"Chicago, IL, united states of america",Robert Hughes,RB,74,4,Hubbard,0.9648,IL,226,2007
774,Durham,North Carolina,6,2,"Durham, NC, united states of america",Greg Little,ATH,75,4,Hillside,0.9614,NC,214,2007
775,Los Angeles,UCLA,5,11,"Los Angeles, CA, united states of america",Raymond Carter,RB,76,4,Crenshaw,0.9607,CA,185,2007
776,Atlanta,Georgia Tech,6,2,"Atlanta, GA, united states of america",Morgan Burnett,WR,77,4,North Clayton,0.9603,GA,185,2007
777,Columbia,South Carolina,6,2,"Columbia, SC, united states of america",Mark Barnes,ATH,78,4,Richland Northeast,0.9602,SC,195,2007
778,Laurinburg,South Carolina,6,4,"Laurinburg, NC, united states of america",Travian Robertson,DT,79,4,Scotland County,0.9599,NC,293,2007
779,High Point,Clemson,5,11,"High Point, NC, united states of america",Marcus Gilchrist,CB,80,4,T Wingate Andrews,0.9596,NC,175,2007
780,Hendersonville,Notre Dame,5,11,"Hendersonville, TN, united states of america",Golden Tate,WR,81,4,Pope John Paul II,0.9594,TN,175,2007
781,Syracuse,North Carolina,6,5,"Syracuse, NY, united states of america",Mike Paulus,PRO,82,4,Christian Brothers Academy,0.9592,NY,220,2007
782,El Paso,Maryland,6,4,"El Paso, TX, united states of america",Cliff Tucker,WR,83,4,Chapin,0.9588,TX,185,2007
783,Baton Rouge,LSU,6,3,"Baton Rouge, LA, united states of america",Chad Jones,S,84,4,Southern University Lab School,0.9573,LA,230,2007
784,Dallas,Texas,6,0,"Dallas, TX, united states of america",Christian Scott,S,85,4,Skyline,0.9573,TX,185,2007
785,Tifton,Georgia,6,0,"Tifton, GA, united states of america",Israel Troupe,WR,86,4,Tift County,0.9568,GA,200,2007
786,Marietta,Georgia Tech,6,0,"Marietta, GA, united states of america",Jonathan Dwyer,RB,87,4,Kell,0.9532,GA,205,2007
787,Lancaster,Pittsburgh,6,3,"Lancaster, PA, united states of america",Pat Bostick,PRO,88,4,Manheim Township,0.9530,PA,220,2007
788,Mobile,LSU,5,11,"Mobile, AL, united states of america",Phelon Jones,CB,89,4,McGill Toolen,0.9527,AL,194,2007
789,Houston,Texas A&M,6,3,"Houston, TX, united states of america",Derrick Stephens,ILB,90,4,Cy Falls,0.9527,TX,240,2007
790,Miami,Miami,5,11,"Miami, FL, united states of america",Doug Wiggins,CB,91,4,North Miami Beach Senior,0.9525,FL,180,2007
791,Greensburg,Penn State,6,3,"Greensburg, PA, united states of america",Nick Sukay,WR,92,4,Greensburg Central Catholic,0.9491,PA,205,2007
792,Ventura,Michigan,5,11,"Ventura, CA, united states of america",Michael Williams,S,93,4,St. Bonaventure,0.9489,CA,181,2007
793,Anderson,South Carolina,5,11,"Anderson, SC, united states of america",Brian Maddox,RB,94,4,T L Hanna,0.9478,SC,229,2007
794,Jacksonville,Illinois,6,4,"Jacksonville, FL, united states of america",D'Angelo McCray,DT,95,4,Andrew Jackson,0.9477,FL,290,2007
795,Ahoskie,North Carolina,6,2,"Ahoskie, NC, united states of america",Tydreke Powell,DT,96,4,Hertford County,0.9470,NC,300,2007
796,Ramsey,Florida,6,4,"Ramsey, NJ, united states of america",Justin Trattou,WDE,97,4,Don Bosco Prep,0.9468,NJ,255,2007
797,Pittsburgh,Penn State,6,3,"Pittsburgh, PA, united states of america",Stefen Wisniewski,OG,98,4,Central Catholic,0.9463,PA,306,2007
798,Miami,Southern Miss,5,11,"Miami, FL, united states of america",Antwain Easterling,RB,99,4,Northwestern,0.9463,FL,195,2007
799,Bunn,Notre Dame,6,3,"Bunn, NC, united states of america",Kerry Neal,OLB,100,4,Bunn,0.9458,NC,234,2007
1500,Pittsburgh,Arizona,6,6,"Pittsburgh, PA, united states of america",Rob Gronkowski,TE,101,4,Woodland Hills,0.9454,PA,235,2007
1501,Lagrange,Kentucky,6,3,"Lagrange, GA, united states of america",D.J. Stafford,DT,102,4,LaGrange,0.9452,GA,270,2007
1502,El Paso,Texas,6,4,"El Paso, TX, united states of america",Andre Jones,DT,103,4,Andress,0.9449,TX,305,2007
1503,Chesapeake,Virginia,6,2,"Chesapeake, VA, united states of america",Ras-I Dowling,CB,104,4,Deep Creek,0.9444,VA,200,2007
1504,Hoover,Auburn,6,2,"Hoover, AL, united states of america",Ryan Pugh,OC,105,4,Hoover,0.9442,AL,275,2007
1505,Lawrence,Iowa,6,4,"Lawrence, KS, united states of america",Christian Ballard,SDE,106,4,Lawrence Free State,0.9439,KS,275,2007
1506,Columbia,Georgia,6,2,"Columbia, MO, united states of america",Logan Gray,DUAL,107,4,Rock Bridge,0.9435,MO,199,2007
1507,Long Beach,Oregon,6,2,"Long Beach, CA, united states of america",Kenny Rowe,WDE,108,4,Long Beach Poly,0.9427,CA,210,2007
1508,West Monroe,Alabama,6,3,"West Monroe, LA, united states of america",Luther Davis,SDE,109,4,West Monroe,0.9425,LA,279,2007
1509,Canton,Ohio State,6,1,"Canton, OH, united states of america",Devon Torrence,CB,110,4,Canton South,0.9417,OH,200,2007
1510,Fairfield,NoCollege,6,1,"Fairfield, OH, united states of america",Dewey Elliot,ILB,111,4,Fairfield,0.9413,OH,240,2007
1511,Reserve,LSU,6,1,"Reserve, LA, united states of america",Stefoin Francois,S,112,4,East St. John,0.9408,LA,190,2007
1512,Mcallen,Texas A&M,5,10,"Mcallen, TX, united states of america",Bradley Stephens,RB,113,4,Memorial,0.9407,TX,185,2007
1513,Palmetto,South Carolina,6,4,"Palmetto, FL, united states of america",Joseph Hills,WR,114,4,Palmetto,0.9400,FL,205,2007
1514,Union City,Rutgers,6,4,"Union City, NJ, united states of america",Manny Abreu,OLB,115,4,Union City,0.9389,NJ,230,2007
1515,Waller,Texas,5,10,"Waller, TX, united states of america",Cody Johnson,RB,116,4,Waller,0.9385,TX,225,2007
1516,Wilmington,Penn State,6,5,"Wilmington, DE, united states of america",Devon Still,DT,117,4,Douglass School,0.9382,DE,250,2007
1517,Orlando,Florida,6,3,"Orlando, FL, united states of america",Jaye Howard,DT,118,4,Jones,0.9375,FL,295,2007
1518,New Kensington,Michigan,6,3,"New Kensington, PA, united states of america",Toney Clemons,WR,119,4,Valley,0.9373,PA,205,2007
1519,Tampa,Miami,6,1,"Tampa, FL, united states of america",Robert Marve,PRO,120,4,Plant,0.9373,FL,189,2007
1520,Powder Springs,Ole Miss,6,0,"Powder Springs, GA, united states of america",Ted Laurent,DT,121,4,McEachern,0.9371,GA,285,2007
1521,Los Angeles,UCLA,6,2,"Los Angeles, CA, united states of america",Brian Price,DT,122,4,Crenshaw,0.9371,CA,285,2007
1522,Lake City,Clemson,6,1,"Lake City, SC, united states of america",Scotty Cooper,ILB,123,4,Lake City Hi,0.9370,SC,206,2007
1523,Tallahassee,Florida State,5,10,"Tallahassee, FL, united states of america",Brandon Paul,ATH,124,4,Lincoln,0.9366,FL,185,2007
1524,Piqua,Ohio State,6,1,"Piqua, OH, united states of america",Brandon Saine,RB,125,4,Piqua,0.9360,OH,219,2007
1525,Memphis,Ole Miss,6,0,"Memphis, TN, united states of america",Roderick Davis,WR,126,4,Wooddale,0.9353,TN,190,2007
1526,Wadesboro,Georgia,6,5,"Wadesboro, NC, united states of america",Trinton Sturdivant,OT,127,4,Anson,0.9343,NC,280,2007
1527,Decatur,Alabama,6,4,"Decatur, AL, united states of america",Rolando McClain,ILB,128,4,Decatur,0.9338,AL,240,2007
1528,Norcross,LSU,6,3,"Norcross, GA, united states of america",T-Bob Hebert,OC,129,4,Greater Atlanta Christian School,0.9336,GA,260,2007
1529,Farmington,Michigan State,6,2,"Farmington, MI, united states of america",Mark Dell,WR,130,4,Harrison,0.9329,MI,199,2007
1530,Lutcher,Tennessee,6,2,"Lutcher, LA, united states of america",Rolando Melancon,DT,131,4,Lutcher,0.9326,LA,260,2007
1531,Fort Lauderdale,Florida,6,1,"Fort Lauderdale, FL, united states of america",Bo Williams,RB,132,4,Northeast,0.9324,FL,205,2007
1532,Bushnell,Florida State,6,1,"Bushnell, FL, united states of america",Kendall Smith,OLB,133,4,South Sumter,0.9318,FL,210,2007
1533,Denver,Minnesota,6,1,"Denver, CO, united states of america",Clint Brewster,PRO,134,4,Mullen,0.9315,CO,190,2007
1534,Fort Lauderdale,North Carolina,6,6,"Fort Lauderdale, FL, united states of america",Kevin Bryant,OG,135,4,Boyd Anderson,0.9314,FL,380,2007
1535,Madison,Auburn,6,3,"Madison, MS, united states of america",Chaz Ramsey,OG,136,4,Madison Central,0.9309,MS,285,2007
1536,Nashville,North Carolina,6,6,"Nashville, TN, united states of america",Rashad Mason,WR,137,4,Pearl Cohn,0.9305,TN,215,2007
1537,Hialeah,Notre Dame,5,9,"Hialeah, FL, united states of america",Armando Allen,RB,138,4,Hialeah-Miami Lakes,0.9304,FL,181,2007
1538,Coffeeville,Miami,6,0,"Coffeeville, MS, united states of america",Lee Chambers,RB,139,4,Coffeeville,0.9300,MS,193,2007
1539,Aledo,Texas,6,6,"Aledo, TX, united states of america",Kyle Hix,OT,140,4,Aledo,0.9291,TX,290,2007
1540,Fort Smith,Auburn,6,2,"Fort Smith, AR, united states of america",Kodi Burns,DUAL,141,4,Northside,0.9290,AR,207,2007
1541,Fort Washington,Florida,5,11,"Fort Washington, MD, united states of america",Joe Haden,ATH,142,4,Friendly,0.9290,MD,190,2007
1542,Omaha,Miami,6,2,"Omaha, NE, united states of america",Harland Gunn,OG,143,4,Omaha Northwest,0.9285,NE,300,2007
1543,Des Moines,NoCollege,5,11,"Des Moines, IA, united states of america",Jordan Bernstine,CB,144,4,Lincoln,0.9275,IA,205,2007
1544,Orlando,Florida,6,1,"Orlando, FL, united states of america",Lorenzo Edwards,OLB,145,4,Edgewater,0.9272,FL,220,2007
1545,Irving,LSU,6,0,"Irving, TX, united states of america",Ron Brooks,ATH,146,4,MacArthur,0.9270,TX,170,2007
1546,Jacksonville,South Carolina,6,0,"Jacksonville, FL, united states of america",Jamire Williams,CB,147,4,First Coast,0.9268,FL,180,2007
1547,Brenham,LSU,6,3,"Brenham, TX, united states of america",Jarrett Lee,PRO,148,4,Brenham,0.9268,TX,195,2007
1548,Hazelwood,Kansas State,6,3,"Hazelwood, MO, united states of america",Lamark Brown,ATH,149,4,Hazelwood West,0.9266,MO,215,2007
1549,Carlsbad,UCLA,6,3,"Carlsbad, CA, united states of america",Chris Forcier,DUAL,150,4,Carlsbad,0.9261,CA,180,2007
2250,Monroe,Tennessee,6,3,"Monroe, LA, united states of america",Ahmad Paige,WR,151,4,Sterlington,0.9257,LA,175,2007
2251,Lynn Haven,Auburn,5,11,"Lynn Haven, FL, united states of america",Enrique Davis,RB,152,4,A. Crawford Mosley,0.9254,FL,212,2007
2252,Columbus,Florida State,6,6,"Columbus, GA, united states of america",Antwane Greenlee,OT,153,4,Hardaway,0.9246,GA,300,2007
2253,Conway,Michigan,6,3,"Conway, SC, united states of america",Junior Hemingway,WR,154,4,Conway,0.9239,SC,205,2007
2254,Church View,Virginia,6,4,"Church View, VA, united states of america",J'Courtney Williams,OLB,155,4,Christchurch School,0.9233,VA,215,2007
2255,Omaha,Nebraska,6,2,"Omaha, NE, united states of america",Niles Paul,WR,156,4,Omaha North,0.9230,NE,210,2007
2256,Portland,Oregon,6,2,"Portland, OR, united states of america",Myles Wade,DT,157,4,Central Catholic,0.9228,OR,305,2007
2257,Brenham,Texas,6,4,"Brenham, TX, united states of america",Ahmard Howard,TE,158,4,Brenham,0.9223,TX,225,2007
2258,Valencia,California,5,9,"Valencia, CA, united states of america",Shane Vereen,APB,159,4,Valencia,0.9222,CA,170,2007
2259,Pittsburgh,Pittsburgh,6,3,"Pittsburgh, PA, united states of america",Chris Jacobson,OG,160,4,Keystone Oaks,0.9221,PA,285,2007
2260,Richmond,California,5,10,"Richmond, CA, united states of america",Jahvid Best,RB,161,4,Salesian,0.9220,CA,183,2007
2261,Okolona,Mississippi State,6,2,"Okolona, MS, united states of america",Robert Elliott,RB,162,4,Okolona,0.9218,MS,210,2007
2262,Pennington,Maryland,5,11,"Pennington, NJ, united states of america",Dominique Herald,S,163,4,The Pennington School,0.9208,NJ,180,2007
2263,Mobile,Alabama,6,2,"Mobile, AL, united states of america",Brandon Gibson,WR,164,4,UMS-Wright Preparatory School,0.9207,AL,194,2007
2264,Lakewood,Ohio State,6,0,"Lakewood, OH, united states of america",Nate Oliver,S,165,4,St. Edward,0.9202,OH,215,2007
2265,Dallas,Texas,6,2,"Dallas, TX, united states of america",Sam Acho,WDE,166,4,St. Mark's,0.9200,TX,250,2007
2266,East Meadow,Boston College,6,5,"East Meadow, NY, united states of america",John Elliott,OT,167,4,East Meadow,0.9200,NY,290,2007
2267,Villa Park,USC,6,6,"Villa Park, CA, united states of america",Michael Reardon,SDE,168,4,Orange Lutheran,0.9193,CA,260,2007
2268,Longwood,Notre Dame,6,2,"Longwood, FL, united states of america",Ian Williams,DT,169,4,Lyman,0.9190,FL,294,2007
2269,Keller,Miami,6,4,"Keller, TX, united states of america",Chris Perry,SDE,170,4,Fossil Ridge,0.9183,TX,286,2007
2270,Whitehall,Michigan,6,5,"Whitehall, MI, united states of america",Ryan Van Bergen,SDE,171,4,Whitehall Senior,0.9183,MI,260,2007
2271,Tallahassee,Auburn,6,0,"Tallahassee, FL, united states of america",Tim Lamb,DT,172,4,Lincoln,0.9181,FL,315,2007
2272,Kirkland,Washington,6,4,"Kirkland, WA, united states of america",Chris Izbicki,TE,173,4,Lake Washington,0.9180,WA,240,2007
2273,Columbia,South Carolina,6,4,"Columbia, SC, united states of america",Quintin Richardson,OT,174,4,Spring Valley,0.9178,SC,265,2007
2274,Thousand Oaks,Texas A&M,6,4,"Thousand Oaks, CA, united states of america",Michael Ebbitt,SDE,175,4,Oaks Christian,0.9153,CA,275,2007
2275,Salt Lake City,Oregon,6,2,"Salt Lake City, UT, united states of america",Simi Fili,DT,176,4,Cottonwood,0.9149,UT,330,2007
2276,New Roads,NoCollege,6,2,"New Roads, LA, united states of america",Todderick Bajoie,WR,177,4,Catholic Of Pointe Coupee,0.9146,LA,205,2007
2277,Birmingham,Alabama,6,1,"Birmingham, AL, united states of america",William Vlachos,OC,178,4,Mountain Brook,0.9146,AL,294,2007
2278,Cedar Hill,Oklahoma State,5,10,"Cedar Hill, TX, united states of america",William Cole,ATH,179,4,Cedar Hill,0.9142,TX,165,2007
2279,Houston,Texas,6,3,"Houston, TX, united states of america",Russell Carter,SDE,180,4,Westbury,0.9142,TX,230,2007
2280,Greensboro,Georgia Tech,6,1,"Greensboro, GA, united states of america",Joshua Nesbitt,DUAL,181,4,Greene County,0.9129,GA,213,2007
2281,Los Angeles,UCLA,6,2,"Los Angeles, CA, united states of america",Akeem Ayers,OLB,182,4,Verbum Dei,0.9127,CA,215,2007
2282,Longwood,Iowa State,6,1,"Longwood, FL, united states of america",Jamicah Bass,RB,183,4,Lyman,0.9111,FL,210,2007
2283,New Freedom,Penn State,6,1,"New Freedom, PA, united states of america",Chaz Powell,ATH,184,4,Susquehannock,0.9093,PA,185,2007
2284,Little Rock,USC,6,2,"Little Rock, AR, united states of america",Broderick Green,RB,185,4,Pulaski Academy,0.9087,AR,244,2007
2285,Breaux Bridge,LSU,5,11,"Breaux Bridge, LA, united states of america",John Williams,ATH,186,4,Breaux Bridge,0.9081,LA,175,2007
2286,Marrero,LSU,6,2,"Marrero, LA, united states of america",Drake Nevis,DT,187,4,John Ehret,0.9065,LA,290,2007
2287,Phoenix,Nebraska,6,5,"Phoenix, AZ, united states of america",Jaivorio Burkes,OG,188,4,Moon Valley,0.9017,AZ,311,2007
2288,Ocala,South Carolina,5,11,"Ocala, FL, united states of america",Dion LeCorn,S,189,4,Trinity Catholic,0.9017,FL,217,2007
2289,Franklin,Tennessee,6,0,"Franklin, TN, united states of america",Todd Campbell,WR,190,4,Franklin,0.9014,TN,185,2007
2290,Lakeland,LSU,6,5,"Lakeland, FL, united states of america",Jordon Corbin,TE,191,4,Lakeland,0.9000,FL,235,2007
2291,Dayton,Louisville,6,2,"Dayton, OH, united states of america",C.J. Peake,S,192,4,Trotwood-Madison,0.9000,OH,216,2007
2292,Allison Park,Notre Dame,6,1,"Allison Park, PA, united states of america",Steve Paskorz,ILB,193,4,Hampton,0.9000,PA,215,2007
2293,Glendale,Nebraska,6,4,"Glendale, AZ, united states of america",William Yancy,SDE,194,4,Ironwood,0.9000,AZ,223,2007
2294,Durham,South Carolina,6,6,"Durham, NC, united states of america",Weslye Saunders,TE,195,4,Riverside,0.9000,NC,270,2007
2295,Middleton,Wisconsin,6,3,"Middleton, WI, united states of america",Nick Toon,WR,196,4,Middleton,0.9000,WI,200,2007
2296,Ontario,Arizona State,5,11,"Ontario, CA, united states of america",Omar Bolden,APB,197,4,Colony,0.9000,CA,185,2007
2297,Culpeper,Virginia,6,1,"Culpeper, VA, united states of america",Terence Fells-Danzer,FB,198,4,Culpeper County,0.9000,VA,250,2007
2298,Loganville,Colorado,6,4,"Loganville, GA, united states of america",Conrad Obi,SDE,199,4,Grayson,0.8994,GA,240,2007
2299,Springfield,Virginia,6,5,"Springfield, VA, united states of america",Peter Lalich,PRO,200,4,West Springfield,0.8986,VA,235,2007
3000,Jacksonville,Florida,6,2,"Jacksonville, FL, united states of america",Brandon Hicks,OLB,201,4,Forrest,0.8986,FL,228,2007
3001,Woodland Hills,Oregon,6,6,"Woodland Hills, CA, united states of america",Darrion Weems,OT,202,4,Taft,0.8986,CA,285,2007
3002,Caledonia,Mississippi State,6,6,"Caledonia, MS, united states of america",Derek Sherrod,OT,203,4,Caledonia,0.8986,MS,298,2007
3003,Suwanee,Ohio State,6,5,"Suwanee, GA, united states of america",Cameron Heyward,DT,204,4,Peachtree Ridge,0.8986,GA,288,2007
3004,Bradenton,Miami,6,1,"Bradenton, FL, united states of america",Jermaine McKenzie,WR,205,4,Bradenton Preparatory Academy,0.8986,FL,164,2007
